department,Name of Project,GPS reading,Project Cost,Ward,Site,contracted company,project start date,expected date of complition,payment done to date,outstanding amount,level of complition,is project in use? yes/no,remarks/Observations,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nakururum ECD 14/15,N03⁰59.684' E034⁰32.631' ELV 644m,"5,484,100",Songot Ward,Nakururum,Tode Contractors Ltd,15-May,16-Feb,,"5,484,100.00",100%,No,"Project complete except for the fence, ready to be commissioned.",Project complete
HEALTH AND SANITATION,Nakururum OPD block 13/14,N03⁰59.711' E034⁰32.708' ELV 641m,"9,800,000",Songot Ward,Nakururum,,,,"9,800,000.00",-,100%,Yes,The project is complete and in use. Commissioned in sep 2015. No signange,
Water Irrigation and Agriculture,Nariokotome Borehole,N04°08.086' E035°54.261 /381M,,Lakezone,Nariokotome,,,,,,100%,No,"Not operational,requires repairing",
Water Irrigation and Agriculture,Kaikor Borehole,N04°30.559' E035°25.931,"2,515,690",Kaaleng/Kaikor,Kaikor Secondary,Kabarait Ltd,,,,,60%,No,Already there but not installed water equipment,
HEALTH AND SANITATION,Narengewoi health center 2013/2014,N04°00.475' E035°51.067' /388 M,"9,800,000",Lakezone,Narengewoi,nacet & sons contractors,,,"9,800,000.00",-,100%,yes,"The project is in use though not fully equiped,client to work on remeding the defects",
Water Irrigation and Agriculture,Kaloyara Borehole,N04°01.645' E035°47.064' /454 M,"2,203,188",Lakezone,Kaloyara/Narengewoi,Narina Inv Co Ltd,,,,,100%,Yes,Operational,
HEALTH AND SANITATION,Riokomor dispensary 2014/2015,N04°06.967' E035°43.228' /559 M,"7,500,050",Lapur,Riokomor,rikomor inv ltd,14-Jun,15-May,"6,750,044.10",-,90%,no,"No windows panes,toilet yet to be completed",
HEALTH AND SANITATION,Nakitoe-kakumon dispensary 2014/2015,N04°12.228' E035°21.614',"7,485,526",Kaeris,Nakitoe-Kakumon,Turkana hardware & constrution co.,14-Jun,15-May,"7,485,526",-,,,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
HEALTH AND SANITATION,Lokitaung sub county hospital pharmacy store and kitchen,N04°15.746' E035°45.261' /745M,"11,957,674",Lapur,Lokitaung,tilak hardware and tools,14-Jun,15-May,"8,370,371.80",-,100%,no,The project is complete waiting for commissioning,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Lochoredome ecd 2013/14,N04°15.893' E 035°40.648' /588 M,"3,500,000",Lapur,Kachoda,Lapur Construction Co.Ltd,,,"3,500,000.00",-,100%,Yes,"Project complete,additional work recomended,commissioning not done",
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Lakezone ward admin office 2014/2015,N04°16.006' E035°45.420' /743 M,"13,671,516",Lakezone,Nachukui,Lapur Trading & Inv Co Ltd,15-May,16-Feb,,,80%,No,"Wiring done,window works on going,no fence and gate,",
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Lapur ward admin office 2014/2015,N04°16.724' E035°52.639' /387 M,"12,900,076",Lapur,Lokitaung,Salnel Const Ltd,15-May,16-Feb,"9,030,053",,70%,No,"Work progress is okay,but rum too steep",
"TRADE, TOURISM AND INDUSTRIALIZATION",Loarengak Market Stalls 2014/2015,N04°16.795' E035°53.531' /380 M,"9,889,064",Lakezone,Loarengak,Lapur Trading & Inv Co Ltd,,,"9,889,063.80",0,100%,no,"Main structure complete.recommended for fencing,gate and a rubbish pit.need for revenue collection officers and revenue enforcement officers.water connection.guard rail",
HEALTH AND SANITATION,Nakapelewoi dispensary,N04°19.062' E035°26.001' /623M,"7,459,816",Kaaleng/Kaikor,Nakapelewoi,Erex contractors,14-Jun,,"7,459,816.00",-,100%,no,Project is complete ready for commissioning,
Water Irrigation and Agriculture,Lokalale Akwaan Borehole,N04°20.812' E035°36.648' /586 M,"2,450,000",Lapur,Kachoda,Nabek Constr Suppl Ltd,,,,,100%,Yes,"Operational,high yield,good work",
HEALTH AND SANITATION,Kaaleng dispensary 2013/2014,N04°22.478' E035°32.963' /607M,"9,800,000",Kaaleng/Kaikor,Kaaleng,Kabarait builders & contractors,,,"9,800,000.00",-,100%,yes,The project was commissioned and use,
HEALTH AND SANITATION,Karebur dispensary 2014/2015,N04°26.133' E035°43.361' /536M,"7,067,290",Lapur,Karebur,Jonice co ltd,14-Jun,15-May,"6,360,561.00",-,90%,no,"The contractor to enhance ventillation and lighting on corridors,project manager to follow",
Water Irrigation and Agriculture,Lokumai II Borehole,N04°26.520' E035°35.585' /541 M,"2,972,130",Kaaleng/Kaikor,Lokumai Ii,,,,,,100%,Yes,Good sate/complete,
Water Irrigation and Agriculture,Todonyang Waterpan,N04°26.830' E035°54.863 / 408M,,Lakezone,Todonyang,,,,,,10%,No,"Preliminary work only,duplication of the project next to the diocese of lodwar pan",
HEALTH AND SANITATION,Ekicheles dispensary 2014/2015,N04°28.664' E035°26.960' /634M,"7,575,200",Kaaleng/Kaikor,Ekichelees,lakika ntwork contrution & general suppliers,14-Jun,15-May,"6,060,160.00",-,80%,no,"Construction on-going,workers on site,most of the materials on site",
Water Irrigation and Agriculture,Nabulkok Borehole,N04°31.191' E035°41.756' /468 M,"2,670,150",Lapur,Nabulkok,Nameturan Inve Ltd,,,,,100%,Yes,Operational,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Kaaleng/Kaikor ward admin office,N04°31.662' E035°25.800' /600 M,,Kaaleng/Kaikor,Kaikor,,,,,,100%,No,Operational,
HEALTH AND SANITATION,Napeikar dispensary 2014/2015,N04°44.946' E035°39.781' /461M,"7,591,211",Lapur,Meyan,morutena contractors,14-Jun,15-May,"5,313,847.70",-,70%,no,"Noted some low quality blocks,project manger to act,contractor experiencing hostility from local community",
Water Irrigation and Agriculture,Liwan Waperpan,N04°55.865' E035°41.740' /383 M,,Lapur,Liwan,,,,,,40%,No,Construction on-going,
"EDUCATION, CULTURE AND SOCIAL SERVICES",NAMON ECD 14/15,N04⁰00.166' E034⁰52.507' ELV 540m,"6,000,000",Songot Ward,Namon,Natamakarwo Eng Ltd,15-May,16-Feb,"3,600,000.00","2,400,000.00",90%,No,Finishing works ongoing,
HEALTH AND SANITATION,Namon Dispensary 13/14,N04⁰00.253' E034⁰52.769' ELV 530m,"4,900,000",Lopur Ward,Namon,,,,,"4,900,000.00",99%,No,"No waiting bench for the patients, the client ministry to organize for commissioning.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Lokudule ECD14/15,N04⁰00.839' E034⁰33.179' ELV 609m,"5,948,132",Songot Ward,Lokudule,Lizton Ltd,15-May,16-Feb,"5,948,132.00",-,100%,Yes,"Project complete, ready for commissioning.",
Water Irrigation and Agriculture,Songot Borehole,N04⁰01.028' E034⁰32.687',"2,608,000",Songot Ward,Lokudule,Turkana Quarry Services,,,,,100%,Yes,The project is complete and there is water and a water trough,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Aposta- lokangae road,N04⁰01.046' E034⁰32.908' ELV 606m,"5,948,132",Songot Ward,Lokudule,Lizton LTD,,,,,100%,Yes,Project complete.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Aposta-Naremeto-Teremkus Road,N04⁰02.828' E034⁰31.869' ELV 619m,"4,000,260",Songot Ward,Naremeto,Lokichar Enterprise Ltd,,,,,100%,Yes,Project complete,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Songot Ward Admin Office,N04⁰03.088' E034⁰31.665' EL 613m,"12,544,947",Songot Ward,Aposta,Tiwae Inv LTD,,,"8,781,463.32","3,763,483.68",70%,No,"Electrical works not done, the contractor is on site",
HEALTH AND SANITATION,Atiir OPD block 13/14,N04⁰03.682' E034⁰52.769' ELV 530m,"6,900,000",Songot Ward,Lokangae,,,,,"6,900,000.00",100%,No,"The ministry to replace collapsing ceiling, repaint and commission.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Naremeto ECD 13/14,N04⁰05.545'E034⁰32.932' EL 564m,"4,320,141",Songot Ward,Naremeto,Aropa Investment Ltd,,,"4,320,140.80",-,100%,Yes,"Project complete, ready for commissioning. Additional works recommended.",
HEALTH AND SANITATION,Teremkus Dispensary14/15,N04⁰06.272' E034⁰28.044' ELV 613m,"7,130,033",Songot Ward,Teremkus,Turkana Quarry services LTD,,,"4,991,023.14","2,139,009.86",90%,No,"No toilet, yet to put ceiling board, painting. The project is stalled, no contractor on site",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Teremkus ECD 14/15,N04⁰06.344'E034⁰27.885' EL 627m,"5,850,000",Songot,Teremkus,Nawik Contractors,15-May,16-Feb,"3,510,000.00","2,340,000.00",100%,No,Project is complete. Ready for commisioning.,
HEALTH AND SANITATION,Lokangae Dispensary 13/14,N04⁰06.682' E034⁰53.363' ELV 519m,"2,900,000",Songot Ward,Lokangae,Katamanak gen constr co ltd,,,,"2,900,000.00",80%,No,"The contractor has done more work than originally agreed in the BQ, willing to complete and claim the actual cost. The project manager to guide on way forward.",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lomidat -Ekaburu Road,N04⁰08.145' E034⁰26.818',"4,469,480",Songot Ward,Lomidat,Kaliou Const Co LTD,,,,,100%,Yes,Project complete.,
HEALTH AND SANITATION,Aposta Dispensary 14/15,N04⁰09.369' E034⁰25.408' ELV 620m,"7,452,999",Songot Ward,Aposta Village,Super Mogilla inv co LTD,,,"7,452,999.00",-,95%,No,"Contracter on site, yet to do wiring and then install window panes, there is another similar facility built by a development partner within the vicinity.",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",St. Patricks Primary School Solar Installation,N04⁰09.400' E034⁰25.915'EL623m,,Lokichogio Ward,Lomidat,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Lokichogio ward admin office,N04⁰11.333' E034⁰21.936' EL 640m,"13,352,191",Lokichogio Ward,Lokichogio,Lojaam Luqa Energy,,,"12,016,971.90","1,335,219.10",80%,No,"Project still ongoing, contractor on site, good work going, all materials were on site",
"EDUCATION, CULTURE AND SOCIAL SERVICES",St Cosmas Napopongoit ECD 2013/2014,N04⁰11.690'E034⁰23.931' EL 624m,"5,412,634",Nanam Ward,Napopongoit Village,Lopiding Gen Construction Ltd,,,,"5,412,633.90",50%,No,"Project not complete, site abandoned. The project manager was not involved in this project. Client to liaise with office of the project manager for direction.",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",St. Cosmas Primary School Solar Installation Project,N04⁰11.708' E034⁰23.868'EL621M,,Nanam Ward,Napopongoit,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",St. Mathews Primary School Solar Project,N04⁰11.798' E034⁰23.297'EL628M,,Nanam Ward,Lopiding,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,Project complete
"EDUCATION, CULTURE AND SOCIAL SERVICES",St Mathews Nadome ECD 14/15,N04⁰11.814'E034⁰23.351' EL 628m,"3,500,000",Nanam Ward,Lopiding Village,Logistics Team International,15-May,16-Feb,,"3,500,000.00",80%,No,Costructions works ongoing,
HEALTH AND SANITATION,AIC Lopiding Subcounty Hospital Renovation FY 2013/2014,N04⁰12.109' E034⁰23.028' ELV 632m,"9,901,504",Nanam Ward,Lopiding,Wamwa Trading Co LTD,,,,"9,901,504.00",100%,Yes,"Painting, door replacements tiling the flours, ceilings repairs, piping and roof repairs, this repair were done on OPD theatre, one ward and office",
"EDUCATION, CULTURE AND SOCIAL SERVICES",AIC Lopiding ECD 14/15,N04⁰12.180'E034⁰23.515' EL 634m,"6,000,000",Nanam Ward,Lopiding Village,Ato Gen Contractors,15-May,16-Feb,"6,000,000.00",-,100%,No,The project is complete. Ready to be commissioned,Project complete
HEALTH AND SANITATION,Loteteleit Dispensary 14/15,N04⁰12.321' E034⁰20.852' ELV 651m,"7,500,000",Lokichogio Ward,Lokichogio AIC Compound,Ekanyarit Atoo enterprise,,,"3,000,000.00","4,500,000.00",70%,No,"The project is incomplete, not painted, the flour is cracking, no window panes and has been built on private property, the relevant department to come up with a clear managenent and operation plan",Project complete
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lokichogio - Lochor Ekope Road,N04⁰12.388' E034⁰20.461' ELV 648m,"7,973,950",Lokichogio Ward,Lokichogio Centre,Lorado Co Ltd,20/06/15,6/8/2015,,,100%,Yes,Project complete.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",AIC Lokichoggio ECD 13/14,N04⁰12.435'E034⁰20.713' EL 645m,"7,500,000",Lokichogio Ward,Lokichoggio Centre,Mt Pelekech Contractors,,,,"7,500,000.00",100%,Yes,"Origal contract 100% complete, additional works was at 95% complete.",
FINANCE AND PLANNING,Renovation of UN camp Lokichogio2013-2014,N04⁰12.465' E034⁰21.908' ELV 626m,,Lokichogio,Lokichogio UN Camp,,,,,,100%,Yes,Project complete and operational,
FINANCE AND PLANNING,Renovation- 4 blocks of 2 units each 2014/2015,N04⁰12.465' E034⁰21.908' ELV 626m,"36,263,314",Lokichogio,Lokichogio Un Camp,Rudolf construction co LTD,,,,,,NO,The team didn’t find renovation project. There was a new construction of 4 blocks 2 units each. The project manager was not involved. The client to provide committee with information on payment regarding the project.,
Water Irrigation and Agriculture,Nanam Borehole,N04⁰12.528' E034⁰33.603' EL 559m,"1,694,000",Nanam Ward,Nanam Village,Sagal Petrol Station,,,,,50%,No,The borehole has been drilled but havent been equipped,
HEALTH AND SANITATION,Nanam Matternity Ward FY 2013/14,N04⁰12.611' E034⁰33.800' ELV 556m,"9,800,000",Nanam Ward,Nanam Centre,,,,,"9,800,000.00",100%,Yes,The project is complete and in use,
HEALTH AND SANITATION,Nanam Dispensary FY 2014/15,N04⁰12.623' E034⁰33.779' ELV 550m,"7,396,473",Nanam Ward,Nanam Centre,Brinkley Logistics,,,,"7,396,473.00",99%,No,Yet to install window panes,
Water Irrigation and Agriculture,Nanam Borehole,N04⁰12.631' E034⁰33.218' EL 566m,,Nanam Ward,Nanam Village,,,,,,100%,No,The borehole was drilled but thre is no water,
Water Irrigation and Agriculture,Songot Waterpan,N04⁰12.631' E034⁰33.218' EL 566m,"9,259,310",Songot Ward,Naremeto,Nawasin Co Ltd,,,,,50%,No,The project is stalled,
FINANCE AND PLANNING,Construction of Lokichogio Slaughter House,N04⁰12.644' E034⁰21.225' ELV 660m,,Lokichogio,Lokichogio,,,,,,100%,yes,,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nanam ECD 2014/2015,N04⁰12.661'E034⁰33.644' EL 539m,"6,000,000",Nanam Ward,Nanam Village,Jelaan Building And Construction & Supp,15-May,16-Feb,"5,100,000.00","900,000.00",85%,No,"Finishing works ongoing, no signage.",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Nanam- Nakaleso road,N04⁰12.743' E034⁰33.683' ELV 560m,"5,276,840",Nanam Ward,Nanam Village,Rabbi Building And Const Co Ltd,1st july2015,31st july 2015,,,100%,Yes,Project complete,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Nanam ward admin office,N04⁰12.988' E034⁰33.691' EL 576m,"9,564,620",Nanam Ward,Nanam Centre,,,,"9,564,620.00",-,100%,Yes,"Client to ensure signage and maintain the facility, the project is complete and commissioned.",
HEALTH AND SANITATION,Nasinyono Dispensary 14/15,N04⁰17.793' E034⁰57.450' ELV 495m,"7,950,000",Songot Ward,Nasinyono,EMV Holdings LTD,,,"5,565,000.00","2,385,000.00",50%,No,"The project is stalled, the contractor is not on site, the community is complaining that the workers who were working on site havent been paid, project manager to issue a default notice",
"EDUCATION, CULTURE AND SOCIAL SERVICES",LOPUR ECD 14/15,N04⁰51.568' E034⁰49.101' ELV 570m,"6,000,000",Lopur Ward,Lopur Centre,Behive Logistics Co Ltd,15-May,16-Feb,"5,400,000.00","600,000.00",100%,No,"Project complete except for the pit latrine finishes and classroom verandah. External paving to be redone,",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Lokwanya Primary School Solar Project,N04⁰56.439' E034⁰33.732'EL656m,,Songot Ward,Lokwanya,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nabune ECD 13/14,0,,Kakuma Ward,Nabune,,,,,-,100%,Yes,The project is complete and in use,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Loki junc- Lopiding_Trackmack Road,0,"5,405,600",Lokichoggio Ward,Lokichogio,Dafobotaz Transport And Construction Ltd,1st july2015,31st july 2015,,,100%,Yes,Project complete.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",A1 Junc- DRA-HO Zion Hosp_AP Line Kiwanja Ndege water kiosk road,0,"13,960,896",Lokichogio Ward,Lokichogio Centre,Chavez Tech Ea Ltd,,,,,0%,Yes,The road is at its old stage no garging nor gravelling has been done on the said road,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lopiding-Naritae Road,0,"1,900,000",Nanam Ward,Naritae,Lelep Inv Ltd,,,,,0%,No,The team could not find because the community was not aware.,Project complete
